# Connected Rod Model - Equilibrium Fit Results
# Data file: input/data_800k.dat
# Chi-squared: 2615.6934, Chi-squared/dof: 33.9700, dof: 77
# 
# Fit Parameters:
#   amplitude: 1.000000 (fixed)
#   radius: 16.431773 +/- 0.217584
#   length: 59.973294 +/- 0.403587
#   background: 0.079560 (fixed)
#   vol_fraction_sld: 2.824028 +/- 0.034470
#   n_cyl: 22.000000 (fixed)
#   sigma_r: 1.911481 +/- 0.056766
# 
# Q	I_exp	I_fit	sigma_I	sigma_Q
2.998390e-03	3.705410e+01	2.996144e+01	1.793280e+00	4.562610e-04
3.148310e-03	3.645290e+01	2.998962e+01	1.669460e+00	4.476320e-04
3.305730e-03	3.858250e+01	2.992077e+01	1.439750e+00	4.796520e-04
3.471010e-03	3.793880e+01	2.984407e+01	1.350680e+00	4.819880e-04
3.644560e-03	3.411650e+01	2.973760e+01	1.097940e+00	5.184350e-04
3.826790e-03	3.434670e+01	2.962564e+01	1.052010e+00	5.135740e-04
4.018130e-03	3.483880e+01	2.948993e+01	9.080550e-01	5.494300e-04
4.219040e-03	3.465890e+01	2.934258e+01	8.785330e-01	5.493490e-04
4.429990e-03	3.275520e+01	2.917217e+01	7.334430e-01	5.869910e-04
3.305730e-03	3.858250e+01	2.992077e+01	1.439750e+00	4.796520e-04
3.471010e-03	3.793880e+01	2.984407e+01	1.350680e+00	4.819880e-04
3.644560e-03	3.411650e+01	2.973760e+01	1.097940e+00	5.184350e-04
3.826790e-03	3.434670e+01	2.962564e+01	1.052010e+00	5.135740e-04
4.018130e-03	3.483880e+01	2.948993e+01	9.080550e-01	5.494300e-04
4.219040e-03	3.465890e+01	2.934258e+01	8.785330e-01	5.493490e-04
4.429990e-03	3.275520e+01	2.917217e+01	7.334430e-01	5.869910e-04
4.651490e-03	3.222690e+01	2.898854e+01	7.136200e-01	5.761870e-04
4.884070e-03	3.153500e+01	2.877479e+01	6.197180e-01	6.197750e-04
5.128270e-03	3.153120e+01	2.854418e+01	6.030500e-01	6.106690e-04
5.384680e-03	3.068910e+01	2.828060e+01	5.325900e-01	6.397660e-04
5.653920e-03	3.146590e+01	2.799034e+01	5.213990e-01	6.474300e-04
5.936610e-03	3.120060e+01	2.766334e+01	4.726470e-01	6.817290e-04
6.233440e-03	2.946960e+01	2.730788e+01	4.441790e-01	6.695310e-04
6.545110e-03	2.852130e+01	2.690765e+01	4.008121e-01	7.020240e-04
6.872370e-03	2.780780e+01	2.647187e+01	3.829800e-01	6.977470e-04
7.215990e-03	2.785500e+01	2.598775e+01	3.543859e-01	7.361200e-04
7.576790e-03	2.666290e+01	2.546461e+01	3.344850e-01	7.295180e-04
7.955630e-03	2.551160e+01	2.489265e+01	3.075810e-01	7.546190e-04
8.353410e-03	2.467890e+01	2.427647e+01	2.902690e-01	7.695070e-04
8.771080e-03	2.408870e+01	2.361579e+01	2.719340e-01	7.941000e-04
9.209630e-03	2.354870e+01	2.291422e+01	2.589780e-01	8.020910e-04
9.670110e-03	2.272480e+01	2.217499e+01	2.434870e-01	8.422130e-04
1.015360e-02	2.146620e+01	2.140306e+01	2.275970e-01	8.393430e-04
1.066130e-02	2.033840e+01	2.060735e+01	2.122000e-01	8.787390e-04
1.119440e-02	1.940510e+01	1.979179e+01	2.010740e-01	8.820770e-04
1.175410e-02	1.846350e+01	1.897023e+01	1.883210e-01	9.188410e-04
1.234180e-02	1.735360e+01	1.814561e+01	1.765350e-01	9.330770e-04
1.295890e-02	1.694060e+01	1.732971e+01	1.692240e-01	9.673010e-04
1.360680e-02	1.566370e+01	1.652348e+01	1.577980e-01	9.891140e-04
