# Q	I_exp	I_fit	sigma_I	sigma_Q
2.720000e-03	3.596820e+01	3.131480e+01	2.363390e+00	4.240000e-04
2.856000e-03	3.980590e+01	3.129872e+01	2.291350e+00	4.240000e-04
2.998000e-03	3.705410e+01	3.118737e+01	1.793280e+00	4.560000e-04
3.148000e-03	3.645290e+01	3.108785e+01	1.669460e+00	4.480000e-04
3.306000e-03	3.858250e+01	3.094012e+01	1.439750e+00	4.800000e-04
3.471000e-03	3.793880e+01	3.078591e+01	1.350680e+00	4.820000e-04
3.645000e-03	3.411650e+01	3.060742e+01	1.097940e+00	5.180000e-04
3.827000e-03	3.434670e+01	3.041845e+01	1.052010e+00	5.140000e-04
4.018000e-03	3.483880e+01	3.020841e+01	9.080550e-01	5.490000e-04
4.219000e-03	3.465890e+01	2.998395e+01	8.785330e-01	5.490000e-04
4.430000e-03	3.275520e+01	2.973730e+01	7.334430e-01	5.870000e-04
4.651000e-03	3.222690e+01	2.947614e+01	7.136200e-01	5.760000e-04
4.884000e-03	3.153500e+01	2.918823e+01	6.197180e-01	6.200000e-04
5.128000e-03	3.153120e+01	2.888356e+01	6.030500e-01	6.110000e-04
5.385000e-03	3.068910e+01	2.855180e+01	5.325900e-01	6.400000e-04
5.654000e-03	3.146590e+01	2.819852e+01	5.213990e-01	6.470000e-04
5.937000e-03	3.120060e+01	2.781755e+01	4.726470e-01	6.820000e-04
6.233000e-03	2.946960e+01	2.741460e+01	4.441790e-01	6.700000e-04
6.545000e-03	2.852130e+01	2.698054e+01	4.008121e-01	7.020000e-04
6.872000e-03	2.780780e+01	2.652078e+01	3.829800e-01	6.980000e-04
7.216000e-03	2.785500e+01	2.602957e+01	3.543859e-01	7.360000e-04
7.577000e-03	2.666290e+01	2.551024e+01	3.344850e-01	7.300000e-04
7.956000e-03	2.551160e+01	2.495956e+01	3.075810e-01	7.550000e-04
8.353000e-03	2.467890e+01	2.437924e+01	2.902690e-01	7.700000e-04
8.771000e-03	2.408870e+01	2.376525e+01	2.719340e-01	7.940000e-04
9.210000e-03	2.354870e+01	2.311863e+01	2.589780e-01	8.020000e-04
9.670000e-03	2.272480e+01	2.244019e+01	2.434870e-01	8.420000e-04
1.015400e-02	2.146620e+01	2.172676e+01	2.275970e-01	8.390000e-04
1.066100e-02	2.033840e+01	2.098170e+01	2.122000e-01	8.790000e-04
1.119400e-02	1.940510e+01	2.020201e+01	2.010740e-01	8.820000e-04
1.175400e-02	1.846350e+01	1.939024e+01	1.883210e-01	9.190000e-04
1.234200e-02	1.735360e+01	1.854777e+01	1.765350e-01	9.330000e-04
1.295900e-02	1.694060e+01	1.768000e+01	1.692240e-01	9.670000e-04
1.360700e-02	1.566370e+01	1.678995e+01	1.577980e-01	9.890000e-04
1.428700e-02	1.469810e+01	1.588609e+01	1.486400e-01	1.018000e-03
1.500200e-02	1.409400e+01	1.497550e+01	1.422380e-01	1.052000e-03
1.575200e-02	1.316290e+01	1.407018e+01	1.335790e-01	1.081000e-03
1.653900e-02	1.210900e+01	1.318262e+01	1.261630e-01	1.117000e-03
1.736600e-02	1.152760e+01	1.232074e+01	1.196050e-01	1.147000e-03
1.823400e-02	1.053090e+01	1.149644e+01	1.126950e-01	1.193000e-03
1.914600e-02	1.013540e+01	1.071100e+01	1.082380e-01	1.229000e-03
2.010400e-02	9.382350e+00	9.968338e+00	1.027530e-01	1.274000e-03
2.110900e-02	8.753770e+00	9.263632e+00	9.666100e-02	1.306000e-03
2.216400e-02	8.108440e+00	8.592244e+00	9.171600e-02	1.358000e-03
2.327200e-02	7.659510e+00	7.945078e+00	8.624800e-02	1.397000e-03
2.443600e-02	6.970880e+00	7.322439e+00	8.220900e-02	1.461000e-03
2.565800e-02	6.508160e+00	6.724873e+00	7.468700e-02	1.487000e-03
2.694100e-02	5.889140e+00	6.165863e+00	7.071600e-02	1.550000e-03
2.828800e-02	5.452500e+00	5.651262e+00	6.394100e-02	1.581000e-03
2.970200e-02	5.128140e+00	5.189331e+00	5.996100e-02	1.633000e-03
3.118700e-02	4.608270e+00	4.773750e+00	5.400900e-02	1.683000e-03
3.274600e-02	4.349330e+00	4.391512e+00	4.915100e-02	1.727000e-03
3.438400e-02	3.954520e+00	4.029046e+00	4.528600e-02	1.770000e-03
3.610300e-02	3.685920e+00	3.683417e+00	4.024401e-02	1.818000e-03
3.790800e-02	3.398380e+00	3.362264e+00	3.720500e-02	1.859000e-03
3.980400e-02	3.086930e+00	3.076541e+00	3.247701e-02	1.924000e-03
